,ICACHE_64B:IFTAG_HIT,ICACHE_64B:IFTAG_MISS,INST_RETIRED:ALL,INST_RETIRED:ANY_P,L2_RQSTS:ALL_CODE_RD,L2_RQSTS:CODE_RD_HIT,L2_RQSTS:CODE_RD_MISS
ExaMiniMD,0.2611540663875715,0.0002643333620139409,2.3480610342695685,2.3553425468326856,0.0002605325204554324,0.0002605905828667952,1.151826579276033e-07
LAMMPS,0.33099733239954865,0.00011953829304161819,2.475389371276062,2.483668966062392,0.00011960552206654756,0.0001192459513138384,3.8940960867609884e-07
sw4lite,0.2652436761495473,4.003621355620265e-05,2.3312087629966096,2.334084640458149,3.970374057003405e-05,2.2871452838494352e-05,1.6804127308131797e-05
sw4,0.2637352803920862,5.264826515653931e-05,2.2726794958642933,2.276681086438689,5.238978364488343e-05,3.787349534490419e-05,1.4551795481031781e-05
SWFFT,0.21310798952195328,6.473927192841806e-05,1.1036303626832678,1.1062045988373463,6.456302080926982e-05,5.844276205132887e-05,6.10554046716213e-06
HACC,0.32459982115592123,9.187108593196036e-05,1.797965512360457,1.8002119827074832,9.123450062187588e-05,8.420994352584593e-05,7.054604225599608e-06
MiniQMC,0.032249647539479016,0.00011479636348996931,0.20918879672476826,0.20919701819455389,0.00011005640828249607,9.977071312801414e-06,9.833816733915256e-05
QMCPack,0.06677994221030589,0.00028037984970766245,0.3027962798176625,0.3028377138310485,0.0002721386648035913,5.9259987020955984e-05,0.00021201884829421847
miniVite,0.2649634569487539,3.351574965235864e-05,1.0562262607657182,1.0564970511985443,3.3249969832974217e-05,1.7763439687639453e-05,1.5404619859394614e-05
vite,0.4677876546849149,9.824487887810326e-06,2.1888563125862426,2.195320811817182,9.792104843703584e-06,2.727582276261682e-06,7.0492540463619846e-06
Nekbone,0.1680563336182626,1.3841592241121716e-05,1.1967813725815049,1.20066741574467,1.356890414531434e-05,4.529390657006697e-06,9.06129193455656e-06
Nek5000,0.16164544151354124,2.97631965115055e-05,1.0573721503783735,1.061465860817889,2.881047912777801e-05,8.581598942010183e-06,2.0207044207811746e-05
XSBench,0.09605629240994357,2.4996445774685443e-06,0.3055437990490774,0.30606250963939274,2.4733791326598315e-06,6.460900473923953e-07,1.801486691798659e-06
openmc,0.3772049339572352,0.00034205731386967395,1.7642912967933086,1.7636660845223102,0.00033757162591688825,0.0003006074883203181,3.85053171684601e-05
picsarlite,0.18146886466909493,2.201788111474124e-05,1.2926364967724122,1.2944653499023833,2.149998286816232e-05,3.857750161704421e-06,1.773240943759073e-05
picsar,0.2021832455016946,2.3996455618668697e-05,1.3614844161116904,1.367473423577804,2.3416630993513435e-05,4.1392951265385366e-06,1.9388501910648457e-05
amg2013,0.4122574728513023,1.5658126133921963e-05,1.8165504796539127,1.819196394220776,1.5538291414512593e-05,1.3218316397692567e-05,2.387450884386797e-06
Castro,0.2955174324466364,6.3074085505967e-05,2.2204579727998186,2.2240607933196257,6.096237798323873e-05,8.544179588812769e-06,5.245110334730111e-05
Laghos,0.2341431216963381,4.675083787145314e-05,1.7973842191606344,1.7991756615702748,4.590269505488399e-05,1.1437937377601336e-05,3.4444676891277103e-05
pennant,0.19546886902129468,0.0005667110782357522,1.4186337243529423,1.4252488743283576,0.0005674961167195224,0.00047023218264243184,9.657838915589423e-05
snap,0.3423597040332047,0.0009166051383228401,2.0813954715703797,2.0860263192659065,0.0008986788666675142,0.0002207163088695065,0.0006774756118232628
hpcc_dgemm,0.30703533779403863,4.011799208874449e-05,2.6892502227697412,2.6946261736976025,3.905263842739198e-05,2.156240993671914e-06,3.683884713970341e-05
hpcc_random,0.21954672158110344,0.003357427722393837,1.0424717185888903,1.045651404961079,0.003358416154705185,0.00332263314344524,3.759253917116603e-05
hpcc_streams,0.06259326242479593,3.4525105265857917e-06,0.34151868749266223,0.34225314590431805,3.3615880685537203e-06,1.8486103529250411e-06,1.4914501487859145e-06
hpcg,0.13636955850420013,1.0034392451936001e-05,0.8849698749865123,0.8878838475454186,9.787361277357686e-06,3.8642615965221454e-06,5.875549440959394e-06
