,HW_INTERRUPTS:RECEIVED,MACHINE_CLEARS.MEMORY_ORDERING,MACHINE_CLEARS.SMC,MACHINE_CLEARS:COUNT
ExaMiniMD,3.854361989874496e-07,7.313039033891317e-05,5.2862149517872534e-08,7.428595058247967e-05
LAMMPS,3.855085404082741e-07,4.672934850847672e-05,2.003308105248045e-07,4.996728660376511e-05
sw4lite,3.528798631761272e-07,2.274798934564633e-06,4.124169149952875e-06,1.6463716622780893e-05
sw4,3.5252744727045005e-07,7.86952457316368e-07,4.737880566750524e-06,1.5497587376486897e-05
SWFFT,1.0899546778790793e-06,1.388054012269882e-06,4.000817957957044e-06,1.920766311022587e-05
HACC,4.6743855545661895e-07,7.067350811103497e-06,3.096316373434983e-06,2.2039357028758127e-05
MiniQMC,4.353040438771225e-07,1.064523370379666e-06,9.516624636543827e-06,3.8090491728464014e-05
QMCPack,3.986152836329617e-07,9.597121151199406e-07,3.8143271042810126e-06,2.692488925641843e-05
miniVite,3.4849671679571273e-07,4.566163357484171e-06,7.859166544305784e-07,1.2096832870444631e-05
vite,3.8376226543099927e-07,1.928745152489888e-06,5.318116349119176e-05,5.944345279923021e-05
Nekbone,3.593824635787129e-07,5.184030445321583e-06,1.9137502722758184e-05,3.525725541691785e-05
Nek5000,3.5621904058042155e-07,2.339212359893319e-06,2.3214588871214952e-05,3.0168568015617567e-05
XSBench,3.387984097935601e-07,7.121016300729321e-07,8.838880989368089e-06,1.914541539334894e-05
openmc,3.5013327986135496e-07,3.51115960563547e-05,3.305956206734004e-06,6.370666402369453e-05
picsarlite,3.450633076251431e-07,1.6090164710914768e-05,2.0585418578229227e-05,4.748981631999564e-05
picsar,3.4447218648469237e-07,1.752412234719842e-05,2.1166907541194054e-05,4.949741077654751e-05
amg2013,3.38097528126033e-07,1.0229961325596595e-05,3.2422498289320166e-06,2.247813098428797e-05
Castro,3.606700262133581e-07,4.0401942235954795e-05,2.264437715761256e-05,9.721926083359709e-05
Laghos,3.496085537648466e-07,1.1742545922224055e-05,6.9895389020431915e-06,2.6632871220520817e-05
pennant,4.5953464094689425e-07,3.172731605891345e-05,2.0479290008570278e-05,6.56686462587493e-05
snap,4.4187039925950013e-07,3.2476176871628304e-05,1.7086415361250724e-06,5.101114872122566e-05
hpcc_dgemm,4.990985000881897e-07,1.539097159303382e-06,2.3390831485374773e-05,3.7243789765809115e-05
hpcc_random,3.4122777043192635e-07,3.389499646177915e-05,7.524443069792661e-06,5.104062933298166e-05
hpcc_streams,3.73119523007735e-07,1.4733776063749856e-08,1.940647760835068e-05,2.890192492445965e-05
hpcg,3.411757797693741e-07,2.903318596774457e-07,3.455672088608612e-05,4.376195248674781e-05
